2025-10-19 20:03:04 | INFO     | user_api | lifespan:21 | Запуск приложения начат
2025-10-19 20:03:07 | INFO     | user_api | test_db_connection:61 | Подключение к базе данных успешно
2025-10-19 20:03:07 | INFO     | user_api | init_redis:27 | init_redis: Подключение к Redis успешно
2025-10-19 20:03:07 | INFO     | user_api | lifespan:24 | Подключение к PostgeSQL и Redis завершено
2025-10-19 20:09:17 | INFO     | user_api | lifespan:81 | Завершение работы приложения начато
2025-10-19 20:09:18 | INFO     | user_api | lifespan:83 | Соединение с БД закрыто
2025-10-19 20:09:18 | INFO     | user_api | lifespan:84 | Приложение полностью остановлено2025-10-23 22:15:22 | INFO     | user_api | lifespan:22 | Запуск приложения начат
2025-10-23 22:15:24 | INFO     | user_api | test_db_connection:61 | Подключение к базе данных успешно
2025-10-23 22:15:28 | WARNING  | user_api | init_redis:30 | init_redis: попытка 1/3 не удалась: Error Multiple exceptions: [Errno 10061] Connect call failed ('127.0.0.1', 6379), [Errno 10061] Connect call failed ('::1', 6379, 0, 0) connecting to localhost:6379.
2025-10-23 22:15:34 | WARNING  | user_api | init_redis:30 | init_redis: попытка 2/3 не удалась: Error Multiple exceptions: [Errno 10061] Connect call failed ('127.0.0.1', 6379), [Errno 10061] Connect call failed ('::1', 6379, 0, 0) connecting to localhost:6379.
2025-10-23 22:15:40 | WARNING  | user_api | init_redis:30 | init_redis: попытка 3/3 не удалась: Error Multiple exceptions: [Errno 10061] Connect call failed ('127.0.0.1', 6379), [Errno 10061] Connect call failed ('::1', 6379, 0, 0) connecting to localhost:6379.
2025-10-23 22:15:40 | ERROR    | user_api | init_redis:33 | init_redis: Redis недоступен, продолжаем работу без него
2025-10-23 22:15:40 | INFO     | user_api | lifespan:25 | Подключение к PostgeSQL и Redis завершено
2025-10-23 22:17:26 | WARNING  | user_api | get_current_user:68 | Отсутствует токен доступа, IP: 127.0.0.1
2025-10-23 22:17:26 | ERROR    | user_api | get_db:47 | Ошибка в сессии базы данных: 401: Не удалось проверить учетные данные
2025-10-23 22:17:26 | WARNING  | user_api | http_exception_handler:178 | HTTP Exception: Не удалось проверить учетные данные | Path: /chat/notifications | Method: GET | IP: 127.0.0.1
2025-10-23 22:18:23 | INFO     | user_api | login:220 | Пользователь admin успешно вошел в систему
2025-10-23 22:18:57 | INFO     | user_api | create_chat_room:58 | Создана чат-комната 1 пользователем 1
2025-10-23 22:19:42 | ERROR    | user_api | get_db:47 | Ошибка в сессии базы данных: 403: Доступ запрещен
2025-10-23 22:19:42 | WARNING  | user_api | http_exception_handler:178 | HTTP Exception: Доступ запрещен | Path: /chat/rooms/2 | Method: GET | IP: 127.0.0.1
2025-10-23 22:20:14 | ERROR    | user_api | get_db:47 | Ошибка в сессии базы данных: 403: Доступ запрещен
2025-10-23 22:20:14 | WARNING  | user_api | http_exception_handler:178 | HTTP Exception: Доступ запрещен | Path: /chat/rooms/2 | Method: GET | IP: 127.0.0.1
2025-10-23 22:20:59 | ERROR    | user_api | get_db:47 | Ошибка в сессии базы данных: [{'type': 'enum', 'loc': ('body', 'message_type'), 'msg': "Input should be 'text', 'image' or 'file'", 'input': 'hello', 'ctx': {'expected': "'text', 'image' or 'file'"}}]
2025-10-23 22:20:59 | WARNING  | user_api | validation_exception_handler:205 | Validation Error: 1 errors | Path: /chat/rooms/1/messages | Method: POST | IP: 127.0.0.1
2025-10-23 22:21:11 | ERROR    | user_api | get_db:47 | Ошибка в сессии базы данных: [{'type': 'enum', 'loc': ('body', 'message_type'), 'msg': "Input should be 'text', 'image' or 'file'", 'input': 'hello', 'ctx': {'expected': "'text', 'image' or 'file'"}}]
2025-10-23 22:21:11 | WARNING  | user_api | validation_exception_handler:205 | Validation Error: 1 errors | Path: /chat/rooms/1/messages | Method: POST | IP: 127.0.0.1
2025-10-23 22:30:26 | INFO     | user_api | lifespan:82 | Завершение работы приложения начато
2025-10-23 22:30:26 | INFO     | user_api | lifespan:84 | Соединение с БД закрыто
2025-10-23 22:30:26 | INFO     | user_api | lifespan:85 | Приложение полностью остановлено
2025-10-24 22:02:51 | INFO     | user_api | lifespan:24 | Запуск приложения начат
2025-10-24 22:02:52 | INFO     | user_api | test_db_connection:61 | Подключение к базе данных успешно
2025-10-24 22:02:56 | WARNING  | user_api | init_redis:30 | init_redis: попытка 1/3 не удалась: Error Multiple exceptions: [Errno 10061] Connect call failed ('127.0.0.1', 6379), [Errno 10061] Connect call failed ('::1', 6379, 0, 0) connecting to localhost:6379.
